time,value
2020-04-09 10:55:01,8079
2020-04-09 11:55:01,9580
2020-04-09 12:55:01,11230
2020-04-09 13:55:01,9172
2020-04-09 14:55:01,12364
2020-04-09 15:55:01,11939
2020-04-09 16:55:01,13388
2020-04-09 17:55:02,15869
2020-04-09 18:55:01,18759
2020-04-09 19:55:02,13720
2020-04-09 20:55:02,9503
2020-04-09 21:55:01,15656
2020-04-09 22:55:01,10700
2020-04-09 23:55:01,8551
2020-04-10 00:55:02,13404
2020-04-10 01:55:02,11287
2020-04-10 02:55:01,7463
2020-04-10 03:55:01,9186
2020-04-10 04:55:01,4841
2020-04-10 05:55:02,4661
2020-04-10 06:55:01,2939
2020-04-10 07:55:01,2122
2020-04-10 08:55:01,2735
2020-04-10 09:55:01,4513
2020-04-10 10:55:01,6817
2020-04-10 11:55:01,8046
2020-04-10 12:55:02,9492
2020-04-10 13:55:02,13071
2020-04-10 14:55:01,17293
2020-04-10 15:55:01,16970
2020-04-10 16:55:01,16808
2020-04-10 17:55:01,16327
2020-04-10 18:55:01,14033
2020-04-10 19:55:01,16400
2020-04-10 20:55:01,12047
2020-04-10 21:55:01,14148
2020-04-10 22:55:01,12287
2020-04-10 23:55:01,13661
2020-04-11 00:55:01,13762
2020-04-11 01:55:01,9070
2020-04-11 02:55:02,10049
2020-04-11 03:55:01,5384
2020-04-11 04:55:01,6158
2020-04-11 05:55:01,3442
2020-04-11 06:55:01,3116
2020-04-11 07:55:01,1951
2020-04-11 08:55:01,1865
2020-04-11 09:55:01,4722
2020-04-11 10:55:01,7570
2020-04-11 11:55:02,11035
2020-04-11 12:55:02,12868
2020-04-11 13:55:01,19317
2020-04-11 14:55:01,17029
2020-04-11 15:55:02,16011
2020-04-11 16:55:01,12322
2020-04-11 17:55:01,14699
2020-04-11 18:55:01,27095
2020-04-11 19:55:01,11916
2020-04-11 20:55:01,10545
2020-04-11 21:55:01,13807
2020-04-11 22:55:01,11040
2020-04-11 23:55:01,7468
2020-04-12 00:55:01,17263
2020-04-12 01:55:02,13028
2020-04-12 02:55:01,8508
2020-04-12 03:55:01,7700
2020-04-12 04:55:01,5620
2020-04-12 05:55:01,6052
2020-04-12 06:55:01,3608
2020-04-12 07:55:01,1701
2020-04-12 08:55:01,2274
2020-04-12 09:55:01,5150
2020-04-12 10:55:01,10126
2020-04-12 11:55:02,15135
2020-04-12 12:55:01,11343
2020-04-12 13:55:01,14420
2020-04-12 14:55:01,20539
2020-04-12 15:55:01,22067
2020-04-12 16:55:01,18623
2020-04-12 17:55:01,17113
2020-04-12 18:55:01,25937
2020-04-12 19:55:02,18434
2020-04-12 20:55:02,10576
2020-04-12 21:55:01,14165
2020-04-12 22:55:01,10568
2020-04-12 23:55:02,10912
2020-04-13 00:55:01,12407
2020-04-13 01:55:01,13862
2020-04-13 02:55:01,7522
2020-04-13 03:55:01,6924
2020-04-13 04:55:01,8953
2020-04-13 05:55:02,4321
2020-04-13 06:55:01,2796
2020-04-13 07:55:02,1953
