time,value
2020-04-09 02:55:01,31011
2020-04-09 03:55:01,25218
2020-04-09 04:55:01,22755
2020-04-09 05:55:01,14759
2020-04-09 06:55:01,19946
2020-04-09 07:55:01,10790
2020-04-09 08:55:01,11299
2020-04-09 09:55:02,8739
2020-04-09 10:55:01,8726
2020-04-09 11:55:02,5377
2020-04-09 12:55:02,4324
2020-04-09 13:55:01,9650
2020-04-09 14:55:01,7744
2020-04-09 15:55:01,6299
2020-04-09 16:55:02,13323
2020-04-09 17:55:02,15438
2020-04-09 18:55:01,15353
2020-04-09 19:55:01,31047
2020-04-09 20:55:01,21518
2020-04-09 21:55:02,39169
2020-04-09 22:55:01,29374
2020-04-09 23:55:01,34525
2020-04-10 00:55:01,33022
2020-04-10 01:55:01,24897
2020-04-10 02:55:01,19761
2020-04-10 03:55:01,21282
2020-04-10 04:55:02,18979
2020-04-10 05:55:02,21784
2020-04-10 06:55:01,23767
2020-04-10 07:55:01,17803
2020-04-10 08:55:01,11830
2020-04-10 09:55:01,8897
2020-04-10 10:55:01,6210
2020-04-10 11:55:01,9479
2020-04-10 12:55:01,6503
2020-04-10 13:55:01,7226
2020-04-10 14:55:01,7909
2020-04-10 15:55:01,10919
2020-04-10 16:55:01,13999
2020-04-10 17:55:01,16076
2020-04-10 18:55:02,25288
2020-04-10 19:55:01,18630
2020-04-10 20:55:01,32917
2020-04-10 21:55:01,29836
2020-04-10 22:55:01,36428
2020-04-10 23:55:01,30188
2020-04-11 00:55:01,26306
2020-04-11 01:55:01,26650
2020-04-11 02:55:01,20380
2020-04-11 03:55:02,20443
2020-04-11 04:55:02,20740
2020-04-11 05:55:01,26783
2020-04-11 06:55:01,19848
2020-04-11 07:55:02,13459
2020-04-11 08:55:01,7832
2020-04-11 09:55:01,6660
2020-04-11 10:55:01,10938
2020-04-11 11:55:01,5031
2020-04-11 12:55:01,5022
2020-04-11 13:55:01,8031
2020-04-11 14:55:01,6336
2020-04-11 15:55:01,4631
