time,value
2020-04-06 09:00:00,666
2020-04-06 08:00:00,6
2020-04-06 07:00:00,1
2020-04-06 06:00:00,2
2020-04-06 05:00:00,3
2020-04-06 04:00:00,3
2020-04-06 03:00:00,3
2020-04-06 02:00:00,1
2020-04-06 01:00:00,2
2020-04-06 00:00:00,602
2020-04-05 23:00:00,6879
2020-04-05 22:00:00,5948
2020-04-05 21:00:00,5045
2020-04-05 20:00:00,4244
2020-04-05 19:00:00,3672
2020-04-05 18:00:00,3760
2020-04-05 17:00:00,3576
2020-04-05 16:00:00,3281
2020-04-05 15:00:00,3385
2020-04-05 14:00:00,3323
2020-04-05 13:00:00,3881
2020-04-05 12:00:00,4419
2020-04-05 11:00:00,5002
2020-04-05 10:00:00,5741
2020-04-05 09:00:00,6234
2020-04-05 08:00:00,6421
2020-04-05 07:00:00,6690
2020-04-05 06:00:00,6777
2020-04-05 05:00:00,7089
2020-04-05 04:00:00,7588
2020-04-05 03:00:00,7604
2020-04-05 02:00:00,7796
2020-04-05 01:00:00,7890
2020-04-05 00:00:00,7510
2020-04-04 23:00:00,6716
2020-04-04 22:00:00,5987
2020-04-04 21:00:00,5092
2020-04-04 20:00:00,4025
2020-04-04 19:00:00,3645
2020-04-04 18:00:00,3566
2020-04-04 17:00:00,3452
2020-04-04 16:00:00,3132
2020-04-04 15:00:00,3220
2020-04-04 14:00:00,3365
2020-04-04 13:00:00,3784
2020-04-04 12:00:00,4253
2020-04-04 11:00:00,4884
2020-04-04 10:00:00,5503
2020-04-04 09:00:00,5816
2020-04-04 08:00:00,6016
2020-04-04 07:00:00,6346
2020-04-04 06:00:00,6339
2020-04-04 05:00:00,6542
2020-04-04 04:00:00,6917
2020-04-04 03:00:00,7287
2020-04-04 02:00:00,7756
2020-04-04 01:00:00,8059
2020-04-04 00:00:00,7408
2020-04-03 23:00:00,212
2020-04-03 22:00:00,121
2020-04-03 21:00:00,61
2020-04-03 20:00:00,54
2020-04-03 19:00:00,60
2020-04-03 18:00:00,39
2020-04-03 17:00:00,35
2020-04-03 16:00:00,32
2020-04-03 15:00:00,50
2020-04-03 14:00:00,36
2020-04-03 13:00:00,42
2020-04-03 12:00:00,39
2020-04-03 11:00:00,56
2020-04-03 10:00:00,42
2020-04-03 09:00:00,40
2020-04-03 08:00:00,30
2020-04-03 07:00:00,41
2020-04-03 06:00:00,37
2020-04-03 05:00:00,53
2020-04-03 04:00:00,39
2020-04-03 03:00:00,10
2020-04-03 02:00:00,40
2020-04-03 01:00:00,38
2020-04-03 00:00:00,25
2020-04-02 23:00:00,19
2020-04-02 22:00:00,21
2020-04-02 21:00:00,16
2020-04-02 20:00:00,14
2020-04-02 19:00:00,15
2020-04-02 18:00:00,13
2020-04-02 17:00:00,20
2020-04-02 16:00:00,11
2020-04-02 15:00:00,8
2020-04-02 14:00:00,13
2020-04-02 13:00:00,10
2020-04-02 12:00:00,17
2020-04-02 11:00:00,23
2020-04-02 10:00:00,20
2020-04-02 09:00:00,17
2020-04-02 08:00:00,22
2020-04-02 07:00:00,14
2020-04-02 06:00:00,19
2020-04-02 05:00:00,16
2020-04-02 04:00:00,21
2020-04-02 03:00:00,15
2020-04-02 02:00:00,23
2020-04-02 01:00:00,17
2020-04-02 00:00:00,18
2020-04-01 23:00:00,21
2020-04-01 22:00:00,26
2020-04-01 21:00:00,13
2020-04-01 20:00:00,13
2020-04-01 19:00:00,12
2020-04-01 18:00:00,11
2020-04-01 17:00:00,9
2020-04-01 16:00:00,7
2020-04-01 15:00:00,7
2020-04-01 14:00:00,11
2020-04-01 13:00:00,11
2020-04-01 12:00:00,18
2020-04-01 11:00:00,4
2020-04-01 10:00:00,12
2020-04-01 09:00:00,13
2020-04-01 08:00:00,10
2020-04-01 07:00:00,11
2020-04-01 06:00:00,8
2020-04-01 05:00:00,12
2020-04-01 04:00:00,7
2020-04-01 03:00:00,10
2020-04-01 02:00:00,4
2020-04-01 01:00:00,23
2020-04-01 00:00:00,10
2020-03-31 23:00:00,11
2020-03-31 22:00:00,13
2020-03-31 21:00:00,11
2020-03-31 20:00:00,23
2020-03-31 19:00:00,7
2020-03-31 18:00:00,5
2020-03-31 17:00:00,4
2020-03-31 16:00:00,5
2020-03-31 15:00:00,4
2020-03-31 14:00:00,4
2020-03-31 13:00:00,4
2020-03-31 12:00:00,12
2020-03-31 11:00:00,13
2020-03-31 10:00:00,8
2020-03-31 09:00:00,5
2020-03-31 08:00:00,4
2020-03-31 07:00:00,5
2020-03-31 06:00:00,9
2020-03-31 05:00:00,11
2020-03-31 04:00:00,6
2020-03-31 03:00:00,8
2020-03-31 02:00:00,8
2020-03-31 01:00:00,7
2020-03-31 00:00:00,11
2020-03-30 23:00:00,10
2020-03-30 22:00:00,11
2020-03-30 21:00:00,7
2020-03-30 20:00:00,9
2020-03-30 19:00:00,6
2020-03-30 18:00:00,5
2020-03-30 17:00:00,5
2020-03-30 16:00:00,6
2020-03-30 15:00:00,1
2020-03-30 14:00:00,5
2020-03-30 13:00:00,5
2020-03-30 12:00:00,7
2020-03-30 11:00:00,6
2020-03-30 10:00:00,6
2020-03-30 09:00:00,10
2020-03-30 08:00:00,7
2020-03-30 07:00:00,11
2020-03-30 06:00:00,13
2020-03-30 05:00:00,7
2020-03-30 04:00:00,11
2020-03-30 03:00:00,10
2020-03-30 02:00:00,9
2020-03-30 01:00:00,7
2020-03-30 00:00:00,10
2020-03-29 23:00:00,9
2020-03-29 22:00:00,7
2020-03-29 21:00:00,4
2020-03-29 20:00:00,7
2020-03-29 19:00:00,6
2020-03-29 18:00:00,4
2020-03-29 17:00:00,1
2020-03-29 16:00:00,1
2020-03-29 15:00:00,9
2020-03-29 14:00:00,3
2020-03-29 13:00:00,6
2020-03-29 12:00:00,8
