time,value
2020-04-06 14:00:00,213
2020-04-06 13:00:00,938
2020-04-06 12:00:00,1015
2020-04-06 11:00:00,1073
2020-04-06 10:00:00,1240
2020-04-06 09:00:00,1321
2020-04-06 08:00:00,1413
2020-04-06 07:00:00,1386
2020-04-06 06:00:00,1211
2020-04-06 05:00:00,1140
2020-04-06 04:00:00,1052
2020-04-06 03:00:00,974
2020-04-06 02:00:00,888
2020-04-06 01:00:00,886
2020-04-06 00:00:00,894
2020-04-05 23:00:00,754
2020-04-05 22:00:00,693
2020-04-05 21:00:00,856
2020-04-05 20:00:00,770
2020-04-05 19:00:00,844
2020-04-05 18:00:00,768
2020-04-05 17:00:00,805
2020-04-05 16:00:00,791
2020-04-05 15:00:00,795
2020-04-05 14:00:00,901
2020-04-05 13:00:00,978
2020-04-05 12:00:00,1029
2020-04-05 11:00:00,1081
2020-04-05 10:00:00,1157
2020-04-05 09:00:00,1231
2020-04-05 08:00:00,1227
2020-04-05 07:00:00,1342
2020-04-05 06:00:00,1174
2020-04-05 05:00:00,1131
2020-04-05 04:00:00,1021
2020-04-05 03:00:00,934
2020-04-05 02:00:00,1071
2020-04-05 01:00:00,935
2020-04-05 00:00:00,831
2020-04-04 23:00:00,755
2020-04-04 22:00:00,739
2020-04-04 21:00:00,754
2020-04-04 20:00:00,899
2020-04-04 19:00:00,807
2020-04-04 18:00:00,826
2020-04-04 17:00:00,829
2020-04-04 16:00:00,743
2020-04-04 15:00:00,956
2020-04-04 14:00:00,932
2020-04-04 13:00:00,992
2020-04-04 12:00:00,1064
2020-04-04 11:00:00,1179
2020-04-04 10:00:00,1267
2020-04-04 09:00:00,1306
2020-04-04 08:00:00,1257
2020-04-04 07:00:00,1233
2020-04-04 06:00:00,1152
2020-04-04 05:00:00,1036
2020-04-04 04:00:00,983
2020-04-04 03:00:00,895
2020-04-04 02:00:00,924
2020-04-04 01:00:00,879
2020-04-04 00:00:00,724
2020-04-03 23:00:00,773
2020-04-03 22:00:00,710
2020-04-03 21:00:00,689
2020-04-03 20:00:00,802
2020-04-03 19:00:00,762
2020-04-03 18:00:00,806
2020-04-03 17:00:00,725
2020-04-03 16:00:00,756
2020-04-03 15:00:00,776
2020-04-03 14:00:00,797
2020-04-03 13:00:00,827
2020-04-03 12:00:00,886
2020-04-03 11:00:00,949
2020-04-03 10:00:00,1135
2020-04-03 09:00:00,1209
2020-04-03 08:00:00,1159
2020-04-03 07:00:00,1211
2020-04-03 06:00:00,1149
2020-04-03 05:00:00,1090
2020-04-03 04:00:00,1019
2020-04-03 03:00:00,985
2020-04-03 02:00:00,829
2020-04-03 01:00:00,809
2020-04-03 00:00:00,796
2020-04-02 23:00:00,797
2020-04-02 22:00:00,722
2020-04-02 21:00:00,737
2020-04-02 20:00:00,776
2020-04-02 19:00:00,778
2020-04-02 18:00:00,724
2020-04-02 17:00:00,668
2020-04-02 16:00:00,597
2020-04-02 15:00:00,672
2020-04-02 14:00:00,638
2020-04-02 13:00:00,782
2020-04-02 12:00:00,831
2020-04-02 11:00:00,270
2020-04-02 10:00:00,944
2020-04-02 09:00:00,1039
2020-04-02 08:00:00,1134
2020-04-02 07:00:00,1131
2020-04-02 06:00:00,1064
2020-04-02 05:00:00,947
2020-04-02 04:00:00,923
2020-04-02 03:00:00,874
2020-04-02 02:00:00,847
2020-04-02 01:00:00,896
2020-04-02 00:00:00,866
2020-04-01 23:00:00,714
2020-04-01 22:00:00,716
2020-04-01 21:00:00,643
2020-04-01 20:00:00,611
2020-04-01 19:00:00,552
2020-04-01 18:00:00,595
2020-04-01 17:00:00,540
2020-04-01 16:00:00,506
2020-04-01 15:00:00,498
2020-04-01 14:00:00,494
2020-04-01 13:00:00,644
2020-04-01 12:00:00,729
2020-04-01 11:00:00,805
2020-04-01 10:00:00,871
2020-04-01 09:00:00,1027
2020-04-01 08:00:00,1045
2020-04-01 07:00:00,1126
2020-04-01 06:00:00,1034
2020-04-01 05:00:00,928
2020-04-01 04:00:00,883
2020-04-01 03:00:00,821
2020-04-01 02:00:00,835
2020-04-01 01:00:00,792
2020-04-01 00:00:00,779
2020-03-31 23:00:00,694
2020-03-31 22:00:00,633
2020-03-31 21:00:00,612
2020-03-31 20:00:00,614
2020-03-31 19:00:00,651
2020-03-31 18:00:00,603
2020-03-31 17:00:00,586
2020-03-31 16:00:00,532
2020-03-31 15:00:00,500
2020-03-31 14:00:00,549
2020-03-31 13:00:00,603
2020-03-31 12:00:00,718
2020-03-31 11:00:00,736
2020-03-31 10:00:00,880
2020-03-31 09:00:00,931
2020-03-31 08:00:00,1031
2020-03-31 07:00:00,964
2020-03-31 06:00:00,1002
2020-03-31 05:00:00,1009
2020-03-31 04:00:00,862
2020-03-31 03:00:00,796
2020-03-31 02:00:00,832
2020-03-31 01:00:00,761
2020-03-31 00:00:00,762
2020-03-30 23:00:00,650
2020-03-30 22:00:00,663
2020-03-30 21:00:00,557
2020-03-30 20:00:00,639
2020-03-30 19:00:00,670
2020-03-30 18:00:00,531
2020-03-30 17:00:00,567
2020-03-30 16:00:00,516
2020-03-30 15:00:00,456
2020-03-30 14:00:00,483
2020-03-30 13:00:00,565
2020-03-30 12:00:00,654
2020-03-30 11:00:00,701
2020-03-30 10:00:00,903
2020-03-30 09:00:00,860
2020-03-30 08:00:00,951
2020-03-30 07:00:00,983
2020-03-30 06:00:00,1007
2020-03-30 05:00:00,957
2020-03-30 04:00:00,889
2020-03-30 03:00:00,814
2020-03-30 02:00:00,832
2020-03-30 01:00:00,792
2020-03-30 00:00:00,708
2020-03-29 23:00:00,820
2020-03-29 22:00:00,598
2020-03-29 21:00:00,533
2020-03-29 20:00:00,677
2020-03-29 19:00:00,530
2020-03-29 18:00:00,485
2020-03-29 17:00:00,457
2020-03-29 16:00:00,436
2020-03-29 15:00:00,431
2020-03-29 14:00:00,478
2020-03-29 13:00:00,525
2020-03-29 12:00:00,569
2020-03-29 11:00:00,679
2020-03-29 10:00:00,788
2020-03-29 09:00:00,816
2020-03-29 08:00:00,892
2020-03-29 07:00:00,919
2020-03-29 06:00:00,917
2020-03-29 05:00:00,788
2020-03-29 04:00:00,899
2020-03-29 03:00:00,674
2020-03-29 02:00:00,803
2020-03-29 01:00:00,687
2020-03-29 00:00:00,593
2020-03-28 23:00:00,572
2020-03-28 22:00:00,525
2020-03-28 21:00:00,676
2020-03-28 20:00:00,558
2020-03-28 19:00:00,537
2020-03-28 18:00:00,445
2020-03-28 17:00:00,418
2020-03-28 16:00:00,417
2020-03-28 15:00:00,516
2020-03-28 14:00:00,473
2020-03-28 13:00:00,565
2020-03-28 12:00:00,644
2020-03-28 11:00:00,782
2020-03-28 10:00:00,860
2020-03-28 09:00:00,847
2020-03-28 08:00:00,943
2020-03-28 07:00:00,968
2020-03-28 06:00:00,925
2020-03-28 05:00:00,949
2020-03-28 04:00:00,807
2020-03-28 03:00:00,829
2020-03-28 02:00:00,786
2020-03-28 01:00:00,668
2020-03-28 00:00:00,697
2020-03-27 23:00:00,603
2020-03-27 22:00:00,624
2020-03-27 21:00:00,691
2020-03-27 20:00:00,590
2020-03-27 19:00:00,558
2020-03-27 18:00:00,551
2020-03-27 17:00:00,442
2020-03-27 16:00:00,521
2020-03-27 15:00:00,494
2020-03-27 14:00:00,551
2020-03-27 13:00:00,615
2020-03-27 12:00:00,639
2020-03-27 11:00:00,672
2020-03-27 10:00:00,839
2020-03-27 09:00:00,813
2020-03-27 08:00:00,925
2020-03-27 07:00:00,982
2020-03-27 06:00:00,973
2020-03-27 05:00:00,904
2020-03-27 04:00:00,731
2020-03-27 03:00:00,800
2020-03-27 02:00:00,755
2020-03-27 01:00:00,713
2020-03-27 00:00:00,650
2020-03-26 23:00:00,586
2020-03-26 22:00:00,524
2020-03-26 21:00:00,589
2020-03-26 20:00:00,561
2020-03-26 19:00:00,627
2020-03-26 18:00:00,545
2020-03-26 17:00:00,493
2020-03-26 16:00:00,528
2020-03-26 15:00:00,525
2020-03-26 14:00:00,511
2020-03-26 13:00:00,625
2020-03-26 12:00:00,656
2020-03-26 11:00:00,683
2020-03-26 10:00:00,751
2020-03-26 09:00:00,799
2020-03-26 08:00:00,920
2020-03-26 07:00:00,1097
2020-03-26 06:00:00,1007
2020-03-26 05:00:00,895
2020-03-26 04:00:00,879
2020-03-26 03:00:00,784
2020-03-26 02:00:00,757
2020-03-26 01:00:00,870
2020-03-26 00:00:00,761
2020-03-25 23:00:00,649
2020-03-25 22:00:00,503
2020-03-25 21:00:00,527
2020-03-25 20:00:00,631
2020-03-25 19:00:00,657
2020-03-25 18:00:00,514
2020-03-25 17:00:00,482
2020-03-25 16:00:00,497
2020-03-25 15:00:00,467
2020-03-25 14:00:00,484
2020-03-25 13:00:00,505
2020-03-25 12:00:00,598
2020-03-25 11:00:00,795
2020-03-25 10:00:00,766
2020-03-25 09:00:00,869
2020-03-25 08:00:00,953
2020-03-25 07:00:00,964
2020-03-25 06:00:00,1018
2020-03-25 05:00:00,858
2020-03-25 04:00:00,786
2020-03-25 03:00:00,752
2020-03-25 02:00:00,843
2020-03-25 01:00:00,781
2020-03-25 00:00:00,634
2020-03-24 23:00:00,649
2020-03-24 22:00:00,629
2020-03-24 21:00:00,564
2020-03-24 20:00:00,631
2020-03-24 19:00:00,572
2020-03-24 18:00:00,626
2020-03-24 17:00:00,482
2020-03-24 16:00:00,447
2020-03-24 15:00:00,429
2020-03-24 14:00:00,480
2020-03-24 13:00:00,538
2020-03-24 12:00:00,632
2020-03-24 11:00:00,611
2020-03-24 10:00:00,872
2020-03-24 09:00:00,819
2020-03-24 08:00:00,887
2020-03-24 07:00:00,839
2020-03-24 06:00:00,930
2020-03-24 05:00:00,762
2020-03-24 04:00:00,703
2020-03-24 03:00:00,742
2020-03-24 02:00:00,693
2020-03-24 01:00:00,735
2020-03-24 00:00:00,603
2020-03-23 23:00:00,613
2020-03-23 22:00:00,552
2020-03-23 21:00:00,535
2020-03-23 20:00:00,618
2020-03-23 19:00:00,588
2020-03-23 18:00:00,490
2020-03-23 17:00:00,475
2020-03-23 16:00:00,470
2020-03-23 15:00:00,397
2020-03-23 14:00:00,433
2020-03-23 13:00:00,496
2020-03-23 12:00:00,640
2020-03-23 11:00:00,720
2020-03-23 10:00:00,747
2020-03-23 09:00:00,757
2020-03-23 08:00:00,846
2020-03-23 07:00:00,958
2020-03-23 06:00:00,823
2020-03-23 05:00:00,746
2020-03-23 04:00:00,764
2020-03-23 03:00:00,697
2020-03-23 02:00:00,692
2020-03-23 01:00:00,625
2020-03-23 00:00:00,606
2020-03-22 23:00:00,633
2020-03-22 22:00:00,499
2020-03-22 21:00:00,455
2020-03-22 20:00:00,513
2020-03-22 19:00:00,526
2020-03-22 18:00:00,431
2020-03-22 17:00:00,415
2020-03-22 16:00:00,393
2020-03-22 15:00:00,382
2020-03-22 14:00:00,454
2020-03-22 13:00:00,532
2020-03-22 12:00:00,543
2020-03-22 11:00:00,599
2020-03-22 10:00:00,625
2020-03-22 09:00:00,785
2020-03-22 08:00:00,846
2020-03-22 07:00:00,890
2020-03-22 06:00:00,855
2020-03-22 05:00:00,697
2020-03-22 04:00:00,702
2020-03-22 03:00:00,654
2020-03-22 02:00:00,647
2020-03-22 01:00:00,559
2020-03-22 00:00:00,559
2020-03-21 23:00:00,494
2020-03-21 22:00:00,495
2020-03-21 21:00:00,473
2020-03-21 20:00:00,504
2020-03-21 19:00:00,422
2020-03-21 18:00:00,518
2020-03-21 17:00:00,452
2020-03-21 16:00:00,413
2020-03-21 15:00:00,398
2020-03-21 14:00:00,412
2020-03-21 13:00:00,450
2020-03-21 12:00:00,559
2020-03-21 11:00:00,635
